Row1,Row2,Correlation Coefficient
1,2,0.36518921047306463
1,3,0.30062968389421413
1,4,0.5403793658590866
1,5,0.4605924526092382
1,6,0.23352101550675192
1,7,-0.50622074814224
1,8,-0.29694548053038483
1,9,-0.1395360899770317
1,10,0.49257360994855065
1,11,-0.14468182136226698
1,12,0.31050854593704835
1,13,-0.1813014286587845
1,14,-0.07012933489267838
1,15,-0.05298649049494087
1,16,0.4029593621039145
1,17,-0.3464962208377746
1,18,0.44016153112955037
1,19,-0.6910543993100235
1,20,-0.43219975658562015
1,21,-0.2856501035464821
1,22,-0.7157051346148675
1,23,0.6364460588410028
1,24,-0.020790240791723494
1,25,-0.1271195986860176
1,26,0.2578222552026996
1,27,-0.4486623671558244
1,28,-0.043557929186793846
1,29,0.1607876719654092
1,30,-0.12905990889107935
1,31,0.6549260176200319
1,32,-0.1512588836708794
1,33,0.05024384260538524
1,34,-0.5021232191372642
1,35,0.586856164915571
1,36,0.10032909805047151
1,37,0.26752063677138743
1,38,-0.230519423853792
1,39,-0.026656946636947322
1,40,0.04870067341981784
1,41,-0.5429540589233643
1,42,0.1630467738559934
1,43,0.4058580700884177
1,44,-0.36284380913336883
1,45,0.6815782695058972
1,46,0.2283676140064063
1,47,-0.5289297424284664
1,48,-0.526371276968216
1,49,0.4510292691854655
1,50,-0.299010528557743
1,51,0.2006049468542012
1,52,0.8800789616053873
1,53,-0.289115383757753
1,54,-0.6867865114774416
1,55,-0.14459194130005676
1,56,-0.18522079837200534
1,57,-0.2937479138814906
1,58,0.1884812425304941
1,59,0.2526160699048522
1,60,-0.5808521484353563
1,61,-0.481290278247296
1,62,0.06576272697793377
1,63,0.026156328194340488
1,64,0.3003437232452116
1,65,-0.4882334365259221
1,66,-0.9467054863684173
1,67,0.30003977667269416
1,68,-0.12368994347477097
1,69,-0.15223922172698862
1,70,-0.47788760990638535
1,71,0.5287521200265036
1,72,-0.2399122438938162
1,73,-0.38747700370226845
1,74,0.5518841415974125
1,75,0.18460518973848447
1,76,-0.5943818315630687
1,77,0.7992232382395376
1,78,-0.6553363311062183
1,79,-0.18696093004378192
1,80,0.19873408976148052
1,81,-0.3023651222897078
1,82,0.7392189357941861
1,83,-0.5311724462633315
1,84,0.1352099090501367
1,85,-0.8133486446379604
1,86,0.8332314781851207
1,87,0.3368489901654222
1,88,-0.0800596222614648
1,89,-0.1406560268066228
1,90,-0.14872634298896162
1,91,-0.2126892700011825
1,92,0.006812678845680578
1,93,-0.3924538308260823
1,94,0.19660759636909586
1,95,0.18131031193829716
1,96,-0.5269656804626888
1,97,0.12083940054043531
1,98,0.2767480037200363
1,99,0.04771765210966564
1,100,-0.49615922424957876
1,101,-0.058903215337633034
1,102,0.8607417818934461
1,103,0.5673158181123714
1,104,0.7089100091014265
1,105,-0.03605734213223581
1,106,0.3860120066328531
1,107,0.27515273752198566
1,108,-0.30083808698123404
1,109,0.42069075233799447
1,110,-0.14321795984056793
1,111,0.4785988480155197
1,112,-0.7091555288950461
1,113,-0.5018741870963166
1,114,0.34869726187953043
1,115,0.6273280538210023
1,116,0.43815053021570444
1,117,0.6201373654153532
1,118,-0.2887631571481005
1,119,-0.460715835846019
1,120,-0.47607621272862816
1,121,-0.38098163909869226
1,122,0.07951183767554677
1,123,-0.36883066119439106
1,124,-0.9129405547566035
1,125,-0.4715300435052676
1,126,-0.3643431946526085
1,127,-0.23851990535450432
1,128,-0.2056597155685065
1,129,-0.5575439480260923
1,130,0.35817363492692217
1,131,-0.21499640704838638
1,132,-0.41627128210774605
1,133,0.4001237539558182
1,134,0.44076619417958346
1,135,-0.5373547823225593
1,136,0.3194521608807684
1,137,0.29134217288422204
1,138,-0.37935534075093796
1,139,0.9722344865766112
1,140,-0.7274753068389106
1,141,-0.31340344199170106
1,142,-0.6616102434106816
1,143,-0.314192321154472
1,144,-0.377957776510906
1,145,0.26501415974824316
1,146,0.9236113594744559
1,147,0.032258041464768315
1,148,0.05179566954594885
1,149,-0.5064431066558619
1,150,-0.177972561859565
1,151,0.22597086476670478
1,152,-0.08005397030281151
1,153,-0.7168993010208292
1,154,-0.23598884342588286
1,155,0.33036088474302333
1,156,-0.5842561038183385
1,157,0.5087038722389058
1,158,-0.5001872387996145
1,159,0.29359839230310153
1,160,0.22877002421102963
1,161,-0.561249538997383
1,162,-0.5475139861586732
1,163,-0.37469008044532975
1,164,-0.24705546210892515
1,165,0.2817123850197517
1,166,-0.02604661305353114
1,167,-0.5776552544675337
1,168,0.02747818581455244
1,169,-0.3354078769008833
1,170,-0.5599347415510552
1,171,-0.4153055216891813
1,172,-0.35259153654939657
1,173,-0.9281707081412007
1,174,-0.4512547319525948
1,175,0.5165100828006024
1,176,0.45731404690250493
1,177,-0.2124291302796528
1,178,0.31647191948200765
1,179,-0.3396153322934274
1,180,0.18586137911018924
1,181,-0.5973999157067452
1,182,0.5365552558359175
1,183,0.33773333202165945
1,184,-0.5642790636822458
1,185,0.34109244117578214
1,186,0.460390792815121
1,187,-0.7191911879415916
1,188,0.13661353939177256
1,189,0.19611511481118019
1,190,-0.7396092829020697
1,191,-0.16369221943299225
1,192,-0.28734842202870314
1,193,-0.24503196407733077
1,194,-0.44572336310262295
1,195,-0.05836616196531021
1,196,-0.3128412838766296
1,197,-0.7143468595491919
1,198,0.5048322879967903
1,199,-0.31936949571861234
1,200,0.8237666351930168
1,201,-0.20762319966485607
1,202,-0.7886009149600922
1,203,-0.09504638452493237
1,204,-0.17631143653631354
1,205,-0.4774896666187919
1,206,-0.00749273129516711
1,207,0.005944298965011397
1,208,-0.27711307089156884
1,209,-0.43596885469882457
1,210,-0.5047171824307934
1,211,0.9072359645307005
1,212,0.46389929939950325
1,213,-0.2665810038307358
1,214,-0.25241445140279667
1,215,0.05568872653285953
1,216,-0.33164411325359416
1,217,0.41981136536733077
1,218,0.5888618122954952
1,219,-0.7915833050843538
1,220,-0.9166768450164574
1,221,0.5250569397360864
1,222,-0.11604638142494751
1,223,0.5110231735807074
1,224,0.3348129564188237
1,225,-0.294959938503251
1,226,-0.3021897195418485
1,227,-0.5688971942924912
1,228,0.14320883914326984
1,229,0.07549267234835572
1,230,0.5088197072233132
1,231,0.9322910554323615
1,232,-0.6887497425593259
1,233,-0.3597662510083333
1,234,-0.2033232785120206
1,235,0.4295193065821652
1,236,-0.4556366253550632
1,237,-0.07105114155195509
1,238,-0.3733804732657317
1,239,0.056345529681053455
1,240,-0.6102786242456852
1,241,0.8383434919513321
1,242,-0.1649266457985111
1,243,-0.41479873248089105
1,244,-0.3521578850050065
1,245,0.5585528658329375
1,246,-0.18804886908909574
1,247,0.26228759419863673
1,248,-0.6011477045911348
1,249,-0.27805957298409145
1,250,-0.2829740842186644
2,3,-0.17787714402894403
2,4,0.321566737142461
2,5,-0.48901158987240173
2,6,0.5099122433312543
2,7,-0.01159983667544941
2,8,-0.2985232014365186
2,9,-0.2696927053929263
2,10,0.4105863651529269
2,11,-0.7430036913314317
2,12,0.035232304614712766
2,13,-0.7993119471222097
2,14,0.04704113025216477
2,15,-0.15932769778811562
2,16,0.8397869680116488
2,17,-0.5313987587823285
2,18,0.9129979549001416
2,19,-0.6520427382128128
2,20,0.35969988870314346
2,21,0.266187863840786
2,22,-0.7158604315576464
2,23,0.6069288541229941
2,24,0.4692713864450388
2,25,0.6911236537260975
2,26,-0.20139746310863524
2,27,-0.41255633470245534
2,28,-0.662589046680842
2,29,-0.6281317360872851
2,30,-0.6778288953460312
2,31,0.9138331298262505
2,32,0.05431187862702925
2,33,-0.08551010542053293
2,34,-0.4922283565021131
2,35,-0.46034597961608675
2,36,-0.3458106676085848
2,37,0.7133034117686973
2,38,-0.4005190659821773
2,39,-0.3744345136836538
2,40,-0.127757167798344
2,41,-0.5160085975457821
2,42,0.26062203909965304
2,43,0.42236728831520454
2,44,-0.47721768729059766
2,45,0.17686211470099186
2,46,0.9687143820841284
2,47,-0.27059333683801706
2,48,-0.6328357922968814
2,49,-0.13813294051163744
2,50,-0.29833206905080784
2,51,-0.3206966536202517
2,52,0.21447159414360278
2,53,0.693534401562774
2,54,0.40713039478053964
2,55,-0.58372783111038
2,56,-0.47222062125289604
2,57,-0.5871917323986113
2,58,0.43741803588310085
2,59,-0.46022043650537015
2,60,-0.09806112618072689
2,61,0.10914109152782281
2,62,-0.47001393603031794
2,63,0.10670197588859945
2,64,0.38645882397467224
2,65,-0.11883783403455361
2,66,-0.31479933632197804
2,67,0.4336173929239657
2,68,0.14715275495836402
2,69,-0.5276911702674928
2,70,0.5566175117581659
2,71,0.1839804888934801
2,72,0.24059884720996547
2,73,-0.5089126013536405
2,74,0.08710606446332853
2,75,-0.5216321460577723
2,76,-0.3504888918683131
2,77,0.7126863643613613
2,78,-0.16313626615416577
2,79,-0.4513390341379781
2,80,-0.15451204729328064
2,81,-0.37710724454519534
2,82,0.44880953033153237
2,83,-0.3702634296404681
2,84,0.003482548706080478
2,85,-0.5036999939300598
2,86,0.5673416427212694
2,87,0.8064349127041591
2,88,0.36677551507492473
2,89,0.48520179074367215
2,90,-0.05425452516692155
2,91,0.7766967571393887
2,92,-0.6338661997690348
2,93,-0.26278881612732785
2,94,0.29137362364959407
2,95,-0.38539880135509114
2,96,-0.5083215804745573
2,97,-0.48191480229655365
2,98,-0.3482484315093767
2,99,-0.22068086764192063
2,100,-0.42738990273720906
2,101,-0.602249773407724
2,102,0.7073035862578506
2,103,0.5360551483889056
2,104,0.6126656114107302
2,105,-0.6234443079134652
2,106,0.9253710918260653
2,107,0.6448738580498482
2,108,-0.4186286969267993
2,109,0.36824803611193824
2,110,-0.14617412113142103
2,111,0.2259696690191978
2,112,-0.2514759197670548
2,113,-0.2992309924803205
2,114,-0.5210984547735897
2,115,0.3973794586166314
2,116,-0.6183951959542623
2,117,0.8804038793127982
2,118,0.40705644053199624
2,119,-0.23829691157353336
2,120,-0.5074186350350339
2,121,0.36387573091143144
2,122,-0.05688669062672264
2,123,0.0126951542825278
2,124,-0.2894930730132573
2,125,-0.3773612100281688
2,126,-0.23318518623779083
2,127,-0.04951255248447559
2,128,-0.9215870241460493
2,129,-0.5560145659402974
2,130,0.771627162707975
2,131,-0.485383326969363
2,132,0.03298343410739089
2,133,0.9176365381101862
2,134,-0.6717232290834622
2,135,-0.8082146737306959
2,136,-0.6354004252815985
2,137,0.2984115020563517
2,138,-0.7828575386121798
2,139,0.2502157542393088
2,140,-0.7737228909038747
2,141,-0.2864692669318072
2,142,-0.28272641427939577
2,143,-0.4403247438242107
2,144,-0.27627829278252986
2,145,-0.1538425940569884
2,146,0.6698422315894786
2,147,-0.14077149264084518
2,148,-0.3881645694797208
2,149,-0.2697434993967345
2,150,-0.8007445593526862
2,151,-0.3488022617669991
2,152,-0.46150302761477896
2,153,-0.901865164397669
2,154,0.19449594565617623
2,155,0.7991910522930026
2,156,-0.4709466074066381
2,157,0.7146193503307962
2,158,0.436866370417004
2,159,-0.3426651073910472
2,160,0.8305183044667154
2,161,-0.1031895484713912
2,162,-0.7054978073322724
2,163,-0.8631098503679413
2,164,-0.5123390026779069
2,165,0.5149693102449264
2,166,0.07679891867883742
2,167,0.38507076251230615
2,168,-0.4189797764707693
2,169,-0.6875962370630295
2,170,0.3884422793233277
2,171,-0.11058203713951165
2,172,-0.2863374508062437
2,173,-0.2809400634029837
2,174,-0.3989775481224068
2,175,-0.5262176474940323
2,176,0.3829552013017142
2,177,-0.15658780152945342
2,178,0.7828633205368924
2,179,-0.3036977655901738
2,180,-0.02447572873670094
2,181,-0.49881618767325886
2,182,-0.2896354284197205
2,183,0.5832800186637195
2,184,-0.8907993714254352
2,185,-0.35289037234225057
2,186,-0.4807708865615104
2,187,-0.5702694677238105
2,188,-0.41320514128847663
2,189,0.935747587019441
2,190,-0.6473124355011188
2,191,-0.3652378309799988
2,192,-0.7425043185109683
2,193,-0.41522342108265803
2,194,-0.6432857482846469
2,195,0.6458215927216927
2,196,-0.22045472378673014
2,197,-0.34863465711238745
2,198,0.4926597092950039
2,199,-0.14769368194887103
2,200,0.513309854890285
2,201,-0.5622417620776401
2,202,-0.723563595100006
2,203,-0.27460152671069554
2,204,0.8234422692745994
2,205,-0.10038631490433297
2,206,-0.15820535434127125
2,207,-0.48637078301217257
2,208,-0.3227270029347251
2,209,-0.29501560070498467
2,210,0.024027482561011
2,211,0.7097088102921175
2,212,0.303867883926521
2,213,-0.6500854078710657
2,214,-0.3604954458780027
2,215,0.11719058421149092
2,216,-0.2176144933177727
2,217,0.7655556779973808
2,218,0.15135449937278514
2,219,-0.595555265986181
2,220,-0.45502860934802575
2,221,-0.09832153963874427
2,222,-0.2009093213331369
2,223,0.6155777300616789
2,224,0.38211540876029715
2,225,-0.6354809815121831
2,226,-0.11274501500967
2,227,0.448568041304742
2,228,0.47338046312053367
2,229,-0.71117995719449
2,230,0.980153131704573
2,231,0.6018792411805014
2,232,-0.4927016604900873
2,233,-0.38276820780049287
2,234,-0.5756585875216991
2,235,-0.06842337727819887
2,236,-0.09648618055536609
2,237,0.15851215788436407
2,238,-0.6957467539681803
2,239,0.537312161040295
